recipe_name,original_recipe_name,ingredients,ingredient_count,ingredients_original,cooking_steps,cooking_method,meal_tags,servings,calories,carbohydrate,protein,fat,sodium_mg,sodium_point,tips,source_book,health_tags,diet_type
Bistik Egg,Telur Bistik,"egg, chicken, chili, shallot, garlic, onion, tomato, vegetable",8,"4 chicken eggs, 1 piece chicken breast, cut into small pieces, ½ cup cooked water, 2 tablespoons dried chilies, 4 shallots, 4 cloves garlic, 1 onion (diced), 4 ripe tomatoes (diced), ½ cup mixed vegetables (frozen mixed vegetable), ½ teaspoon salt, 1 tablespoon sugar, 2 tablespoons cooking oil","Heat the cooking oil. Sauté the blended ingredients until crisp. Add the chicken and stir until cooked. Add the water, vegetables, and salt, mixing until fragrant. Crack the eggs into the sauce one by one. Let it simmer until the eggs are cooked. Ready to serve with white rice and selected vegetables.",boil,"lunch,dinner",4 person,163,3.8,10,12,160,0.8,"Sodium content is reduced by using fresh tomatoes as the main sauce ingredient instead of chili sauce, oyster sauce, or tomato sauce. Use only fresh chicken and avoid processed meats. The eggs are not fried first, but directly added into the boiling gravy to reduce oil usage.",Resipi Masakan: #SedapTakSemestinyaMasin,"low_sodium,low_calorie",mixed
Shrimp Macaroni Soup,Sup Makaroni Udang,"mushroom, tomato, corn, carrot, seaweed, shrimp, macaroni, anchovy",8,"½ cup fresh shiitake mushrooms (sliced), 1 tomato (cut into 4 or 6), 1 corn stalk (cut into 4), ½ carrot (diced), 1 gram dried seaweed, 1 cup fresh shrimp meat, 1 cup dried macaroni, 1 tablespoon anchovies, 1 teaspoon white pepper powder, ½ teaspoon salt, 4 cups water","Boil the water. Add the corn, carrot, tomato, mushroom, and dried macaroni. Simmer until cooked. Add the shrimp, anchovies, white pepper, salt, and seaweed. Cover and let it simmer until cooked. Ready to serve while hot.",boil,"lunch,dinner",4 person,52,3.8,7,1,366,1.8,"Using ingredients containing natural ""glutamate"" such as mushrooms, tomatoes, fish, shrimp, tofu, and seaweed can enhance the savory ""umami"" taste without using MSG or stock cubes.",Resipi Masakan: #SedapTakSemestinyaMasin,"low_sodium,low_calorie,low_fat",seafood
Egg Casserole,Casserole Telur,"bread, tomato, onion, mushroom, broccoli, cheese, egg, milk",8,"2 slices wholemeal bread, ½ cup tomato (diced), ½ cup onion (chopped), ½ cup fresh mushrooms, ½ cup broccoli (cut into small pieces), 2 slices cheddar cheese, 3 eggs, ¼ cup low-fat milk, A little white pepper powder, ¼ teaspoon salt, A little parsley leaves, A little soft unsalted margarine","Place the wholemeal bread pieces into a baking pan greased with margarine, pressing them down until compact. Add the onion, broccoli, mushroom, and tomato. Mix the eggs with white pepper, salt, and low-fat milk, beating until well combined. Pour the egg mixture over the ingredients in the pan. Tear and sprinkle the cheese slices on top. Add the parsley leaves. Bake at 200°C for 20-25 minutes. Ready to serve.",bake,breakfast,2 person,209,16.5,12,10,212,1,No specific tip provided.,Resipi Masakan: #SedapTakSemestinyaMasin,low_sodium,egg
Steamed Barramundi with Lime,Ikan Siakap Kukus Limau Nipis,"barramundi, onion, garlic, chili, ginger, lemongrass, lime",7,"1 small-sized barramundi (cleaned and scored), 1 holland onion (sliced in rounds), 4 cloves garlic (chopped), 5 bird's eye chilies (crushed), 2 inches ginger (sliced long), 2 stalks lemongrass (thinly sliced), 4 limes (juice extracted), ¼ teaspoon salt, ½ teaspoon oyster sauce, 1 teaspoon corn flour, ½ cup water, A little coriander leaves, kaffir lime leaves, red chilies and lime slices","Stuff the lemongrass into the fish's stomach. Squeeze a little lime juice over it. Sprinkle with ginger, lemongrass, garlic, yellow onion, kaffir lime leaves, bird's eye chilies, and red chilies. Mix the corn flour, oyster sauce, salt, water, and lime juice, stirring until well combined. Pour the mixture over the fish. Steam the fish for 15-20 minutes. Garnish with coriander leaves and red chilies. Ready to serve with white rice and selected vegetables.",steam,"lunch,dinner",2 person,70,0,14,1,350,1.8,No specific tip provided.,Resipi Masakan: #SedapTakSemestinyaMasin,"low_sodium,low_calorie,low_fat",seafood
Kerabu Fried Rice,Nasi Goreng Kerabu,"rice, onion, garlic, anchovy, chili, ginger flower, lemongrass, green bean, cabbage, chicken, cucumber",11,"4 cups white rice, ½ onion, 2 cloves garlic, 2 tablespoons anchovies (washed and coarsely pounded), 2 bird's eye chilies, 1 torch ginger flower, 1 stalk lemongrass, 2 kaffir lime leaves, ½ cup green beans, ½ cup cabbage, 1 piece chicken breast (cut into small pieces), 4 tablespoons cooking oil, 1 teaspoon salt, 1 tablespoon white pepper powder, A little cucumber (thinly sliced)","Heat the oil. Sauté the onion and garlic until golden. Add the chicken and cook until done. Add the anchovies, bird's eye chilies, lemongrass, torch ginger flower, kaffir lime leaves, green beans, and cabbage, stirring evenly. Add the rice and mix well. Season with salt and white pepper. Ready to serve. Garnish with sliced cucumbers.",stir_fry,"lunch,dinner",4 person,305,40,4,15,600,3,"Green beans can be substituted with winged beans or long beans. Cabbage can be replaced with red cabbage or sliced carrots to increase antioxidants and add appealing colors. Using herbs like lemongrass, torch ginger flower, and kaffir lime leaves enhances the flavor and aroma of the kerabu rice.",Resipi Masakan: #SedapTakSemestinyaMasin,balanced,mixed
Chicken Wonton Soup,Sup Wantan Ayam,"wonton wrapper, chicken, prawn, water chestnut, carrot, egg, shallot, ginger",8,"16 wonton wrappers, 120 g (½ cup) chicken meat fat and skin removed and minced, 5 g (3 pieces) water chestnut roughly chopped, 30 g (¼ cup) carrot finely sliced, 15 ml (1 tablespoon) soy sauce, 1 egg lightly beaten, 3 g (1 teaspoon) corn flour, 1.5 L (6 cups) homemade chicken stock, 40 g (4 pieces) shallot finely sliced, 10 g (½ inch) ginger sliced, Salt and white pepper to taste","Mix chicken, prawn, water chestnut, carrot, corn flour and soy sauce. Mix the filling ingredients well and leave for 30 minutes. Place 1/2 teaspoon of filling in the center of the wonton skin. Gather the 4 corners of the wonton skin to the center and seal by brushing with beaten egg. Boil 3 cups of water in a pot. Once boiling, place the wontons into the water. When the wontons float to the surface, scoop them out of the pot and set aside. Simmer the chicken stock with shallots and ginger for a few minutes. Sprinkle a little white pepper and a pinch of salt. Turn off heat and serve wontons with soup and noodles.",boil,lunch,5 – 6 person,117,13.7,9,2.9,NULL,NULL,"“Wonton” comes from two Chinese words that literally mean “small dumpling”. In Cantonese, it means “swallowing clouds”.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, low_fat",mixed
Cauliflower Stuffed Paratha,Roti Paratha Berinti Bunga Kubis,"wholemeal flour, cauliflower, onion, green chilli, spring onion, ginger",6,"200 g (2 cups) wholemeal flour/bread flour, 150 ml (¾ cup) water, 15 ml (1 tablespoon) oil, 112 g (1 cup) cauliflower finely chopped, 50 g (½ cup) onion chopped, 1 green chilli thinly sliced, 10 ml (2 teaspoons) lemon juice, 2 stalks fresh spring onion sliced, 1 inch ginger chopped, Salt to taste, Oil for cooking","Sift flour with salt in a large bowl and mix with cooking oil using fingers. Add 3/4 cup water little by little, adding more water if necessary. Knead until the dough becomes soft and elastic, cover and leave for 30 minutes. To make the filling, place cauliflower in a bowl and pour enough hot water to cover the surface. Cover bowl and leave for 5 minutes. Strain the softened cauliflower by pressing slightly to remove as much water as possible. In a bowl, mix cauliflower, lemon juice, salt, spring onion, onion, chilli and ginger. Mix well and divide into 6 parts. To make paratha, knead each dough into a thin pancake. Spoon 1 part of the cauliflower mixture onto the pancake and fold in half, pressing the edges to seal the filling. Shape into a ball again. Knead the dough again carefully to become flat about 5 inches wide and 1/4 inch thick, without opening the filling. Heat and grease a flat pan with a little oil. Fry the paratha until both sides are cooked and golden brown. Serve with dhal curry.",fry,breakfast,6 person,167,4.6,24.5,5.6,NULL,NULL,"Cauliflower is a cruciferous vegetable containing phytochemicals that help the body fight diseases. For a complete meal, you can serve this recipe with Thai Style Vegetable Curry (pg 71) and Tandoori Chicken (pg 52).",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, high_protein, low_fat",vegan
Wholemeal Pancake with Apple Stew,Lempeng Mil Penuh dengan Stew Epal,"wholemeal flour, self-raising flour, milk, egg, apple, yogurt",6,"25 g (¼ cup) wholemeal flour, 125 ml (½ cup) self-raising flour, 125 ml (½ cup) milk, 1 egg, 5 g (1 teaspoon) butter softened, 100 g (1 piece) green/red apple, 125 ml (½ cup) water, 7 g (1 teaspoon) sugar, 14 g (1 tablespoon) butter, A pinch of cinnamon powder, 30 g (2 tablespoons) low-fat yogurt","Peel the apple, remove seeds and cut apple into small sizes. Melt butter in a pot and pour water with sugar. Boil and add apples. Simmer covered until the apples are soft. Sprinkle a little cinnamon powder over the apple stew and set aside. Sift wholemeal flour and self-raising flour into a large bowl and make a hole in the center of the flour mixture. Mix milk, butter, egg, and fold into the flour and beat slowly to make a soft batter. Place a little butter on a flat pan and pour the batter and cook until air bubbles appear. Flip the pancake to cook on the other side. Serve pancake with apple stew and yogurt.",fry,breakfast,2 – 3 person,231,31.5,7.8,8.2,NULL,NULL,"Apples can be replaced with other fruits like pears, honeydew melon or bananas. Choose wholemeal wheat flour because whole grain products are high in fiber, vitamin B and minerals. It provides the overall goodness of whole grains. You are recommended to include whole grains in half of your daily meals.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, low_fat",vegetarian
Rolled Egg Bento,Bento Telur Gulung,"egg, tuna",2,"3 eggs, 10 g (1 teaspoon) tuna flakes in water, Salt and white pepper to taste, A little vegetable oil","Mix all ingredients and beat until combined using a fork or chopsticks. Do not beat too hard to avoid bubbles. Heat a pan with a little oil. Place 2-3 full tablespoons of egg mixture into the pan. Cook over medium heat until slightly set but not too runny. Roll using a fork or chopsticks to the front of the pan. Place another 2 tablespoons of egg mixture into the pan. Spread around the pan surface and lift the rolled egg slightly so the uncooked egg flows underneath. Cook until the layer is almost hard, then roll that egg together with the already rolled egg in the opposite direction. Add a little more oil and repeat steps until all eggs are used. Place the cooked egg on a plate with the last fold at the bottom. Roll tightly using kitchen tissue to absorb excess oil. Let the whole roll cool at room temperature. Cut using a sharp knife and serve with wholemeal bread and fresh salad.",fry,breakfast,4 person,88,0.3,5.4,7.2,NULL,NULL,"For a quick and healthy complete breakfast, serve the rolled egg with fresh salad, cherry tomatoes and wholemeal bread. Bento is a single-portion takeout or home-packed meal in Japan. A traditional bento consists of rice, fish or meat with one or more types of cooked vegetables, usually arranged in a box-shaped container.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, low_fat",seafood
Vegetable Dhal Curry,Kari Dhal Sayuran,"lentil, carrot, brinjal, cucumber, tomato, shallot, garlic",7,"100 g (1 cup) dhal soaked overnight and boiled until soft, 60 g (½ cup) carrot cut into small cubes, 86 g (1 cup) brinjal cut into small pieces, 50 g (½ piece) cucumber halved and cut into small pieces, 25 g (1 piece) tomato cut into small pieces, 800 ml (3 cups) homemade vegetable stock, 10 g (1 piece) shallot chopped, 10 g (2 cloves) garlic chopped, 10 g (1 teaspoon) curry powder, 20 g (2 teaspoons) chilli powder, 1 stalk curry leaves, 5 g (1 teaspoon) cumin, 20 g (2 teaspoons) black mustard seeds, 7 g (1 teaspoon) turmeric powder, 15 ml (1 tablespoon) vegetable oil, 2 tablespoons coriander leaves sliced","Heat oil in a pan over medium heat. Add shallots, garlic and sauté until fragrant. Then add curry powder, turmeric powder, mustard seeds, chilli powder, curry leaves and cumin. Sauté briefly and stir constantly to avoid burning. Add vegetable stock. Add dhal beans into the pan and boil until the gravy becomes thick. Add carrot and brinjal and continue boiling until cooked. Then add cucumber and finally tomato. Cover and boil over small fire for 15 minutes until dhal beans are tender and gravy becomes thick. Serve with coriander leaves.",boil,breakfast,6 – 7 person,73,10.4,3,2.2,NULL,NULL,"Suitable to be served with thosai, naan, chapati or rice. Dhal is a legume that is a good source of protein and fiber. Vegetarians can consume this dish with other grains like whole grain bread to get the benefits of complete protein. This vegetarian dish is an excellent way to reduce saturated fat intake, especially from meat and chicken.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, low_fat",vegan
Vegetable Spring Roll,Kuih Gulung Sayuran,"popiah skin, carrot, cabbage, soybean, shallot",5,"3 pieces spring roll wrappers (square), 180 g (2 cups) grated carrot, 130 g (1½ cups) cabbage finely chopped, 430 g (2½ cups) soybeans soaked overnight and boiled until soft, 10 g (1 piece) shallot finely chopped, 30 ml (2 tablespoons) tomato paste, 15 ml (1 tablespoon) soy milk, 10 ml (2 teaspoons) oil, 10 ml (2 teaspoons) sesame seeds, Salt and white pepper to taste, A pinch of cinnamon powder","Heat oil in a pan and sauté onion until fragrant and crisp. Add carrot and cabbage. Cook for 1-2 minutes. Blend soybeans in a blender and add to the pan. Add tomato paste, salt, white pepper and cinnamon powder to the pan. Turn off heat and let cool. Cut popiah skins in half and divide the filling into 6 parts. Place a spoonful of filling lengthwise at the end of the popiah skin. Brush soy milk at the end opposite the filling. Then roll to seal the filling. Repeat this step until filling is used up. Cut rolls into 6 equal lengths and place on a tray greased with butter. Brush the top of each roll with soy milk and prick with a fork. Sprinkle a little sesame seed. Bake over medium heat 210°C for 20-25 minutes, or until crispy and browned.",bake,snack,5 – 6 person,229,19.9,15.1,9.9,NULL,NULL,"Soybeans are legumes that are a good alternative to meat, and they are low in fat and high in protein, fiber, and complex carbohydrates. When buying canned beans, look for brands with no added salt.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, high_protein, low_fat",vegan
Black Pepper Fried Vermicelli,Bihun Goreng Lada Hitam,"rice vermicelli, prawn, bean sprout, carrot, tofu, onion, garlic, dried shrimp, egg",9,"300 g rice vermicelli soaked until soft and drained, 200 g fresh prawns peeled, 200 g bean sprouts, 150 g carrot cut into small long strips, 3 pieces tofu steamed and thinly sliced, 3 g (½ teaspoon) black pepper, 40 g (4 pieces) shallot, 20 g (4 cloves) garlic, 10 g (2 tablespoons) dried shrimp, 15 g (2 tablespoons) oyster sauce, 30 ml (2 tablespoons) oil, 1 piece omelette sliced, Spring onion for garnish, Salt and white pepper to taste, A little water, Garnish: 2 limes halved","Heat oil and sauté blended ingredients until fragrant. Add prawn, salt, oyster sauce and a little water. Mix ingredients until combined and continue cooking. Add carrot and cook until soft. Then add rice vermicelli and stir well. When rice vermicelli is soft, add bean sprouts. Add salt and white pepper to taste. Add sliced tofu and mix well before serving. Garnish with sliced omelette, spring onion and lime.",stir_fry,breakfast,4 – 5 person,338,50.5,17.5,7.4,NULL,NULL,"You can replace rice vermicelli with whole wheat pasta, spinach pasta, or angel hair pasta. Grain-based products like rice vermicelli have a high carbohydrate content as an energy source. If possible, use whole grain rice vermicelli.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"high_protein, low_fat",seafood
Crispy Fruit Layer,Lapisan Buahan Rangup,"honeydew melon, oat cereal, yogurt",3,"300 g (3 slices) honeydew melon cut into small cubes, 75 g (1 cup) oat cereal toasted until crispy, 190 ml (¾ cup) low-fat yogurt, 15 ml (1 tablespoon) strawberry jam, 15 ml (1 tablespoon) watermelon juice","Divide cut honeydew melon between 2 tall glasses and set aside extra for garnish. Place oat cereal on top of fruits in an even layer and end the layer with low-fat yogurt. Mix jam and watermelon juice in another container and spread over the yogurt. Finally, garnish with the set aside honeydew melon cubes and serve immediately.",mix,dessert,2 person,268,53.1,8.3,2.5,NULL,NULL,"This recipe is also suitable for children (the child portion size is half of this serving size). If your child only likes one type of fruit, encourage them to enjoy a variety of other fruits like bananas, mangoes, and so on through this recipe. Consume at least 2 servings of fruits daily. This recipe can encourage your family members to consume more fruits every day.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, low_fat",vegetarian
Asparagus Salad with Low Fat Dressing,Salad Asparagus dengan Sos Salad Rendah Lemak,"asparagus, mixed legume, celery, onion, tomato, garlic, yogurt",7,"50 g (5 stalks) asparagus hard stem and thick skin removed and cut short, 425 g (2 cups) dried mixed legumes (black beans, black-eyed peas, chickpeas, soybeans, red beans) soaked overnight drained and rinsed, 40 g (2 stalks) celery finely chopped, 25 g (1 piece) onion finely chopped, 75 g (3 pieces) tomato roughly chopped, 10 g (3 tablespoons) parsley for garnish, 45 ml (3 tablespoons) olive oil, 10 ml (2 teaspoons) vinegar, 5 g (1 clove) garlic crushed, 15 ml (1 tablespoon) tomato chutney/puree, Salt and black pepper to taste, 113 g (¾ cup) natural yogurt, 30 ml (2 tablespoons) lime juice, 60 g (¼ cup) honey, ¼ teaspoon grated lime zest, 10 g (1 piece) shallot finely chopped, 10 g (2 cloves) garlic crushed, 15 ml (1 tablespoon) lemon juice, 30 ml (2 tablespoons) persone juice, 15 ml (1 tablespoon) cider vinegar, 60 ml olive oil, 15 ml (1 tablespoon) cider vinegar, 5 ml (1 teaspoon) honey, Salt and black pepper to taste","Mix all sauce ingredients in a bowl and leave for a while or chill in the refrigerator for 1 hour. Boil all types of legumes in boiling water until soft. Drain and rinse with cold water. Mix asparagus, celery stick, onion, tomato and mix until combined. Serve legume salad with its sauce and garnish with parsley leaves.",mix,lunch,4 – 5 person,170,26,10.9,2.5,NULL,NULL,"It is recommended to soak dried beans and grains in room temperature water for a few hours to shorten boiling time. It also helps dissolve phytic acid (an anti-nutrient). Before soaking, discard discolored or defective beans and any foreign matter. Legumes and grains are also nutritious protein sources besides meat, fish and chicken. They also function as a source of fiber and other nutrients like iron and zinc.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, low_fat",vegetarian
